rank,company,vertical,score,buyer_role_open,buyer_roles_count,tools_detected,compliance_signals,open_roles,size_flag,evidence_url,disqualifier
25,Ro,healthtech,61,"Director, Compounding Operations - Romeoville, Illinois",2,none in buyer JDs,"compliance, regulated",51,,https://jobs.lever.co/ro/c7f3d544-0899-4f8f-a319-c645e3928d08,
26,Planhat,saas,61,Deployment Strategy Operations Lead | Americas ,4,none in buyer JDs,"audit, phi",42,,https://jobs.ashbyhq.com/planhat/713fd8a8-854f-4cc0-9e80-0d89266779ee,
27,Pigment,saas,56,"Customer Success Manager, EPM  - San Francisco, Austin, or New York",1,none in buyer JDs,"audit, phi",100,,https://jobs.lever.co/pigment/f5471302-f110-4940-a509-f18ece1bdd3d,
28,Lyra Health,healthtech,44,Training Operations Associate II,1,none in buyer JDs,"audit, compliance, phi",537,LARGE,https://jobs.lever.co/lyrahealth/73972198-a897-4958-9994-c47898dada2b,"537 open roles: likely enterprise, probable Glean territory; kept as a compliance-wedge stress test"
29,Two Chairs,healthtech,24,none open now,0,none in buyer JDs,"compliance, hipaa, phi",28,,https://www.twochairs.com/careers?gh_jid=8686757002,
30,Sidecar Health,healthtech,24,none open now,0,none in buyer JDs,"audit, compliance, regulated",14,,https://job-boards.greenhouse.io/sidecarhealth/jobs/6116025004,
31,Tia,healthtech,24,none open now,0,none in buyer JDs,"compliance, hipaa, phi",30,,https://job-boards.greenhouse.io/tia/jobs/7905680003,
32,Komodo Health,healthtech,24,none open now,0,none in buyer JDs,"audit, baa, compliance, gdpr, hipaa, phi, regulated, soc 2, soc2",36,,https://job-boards.greenhouse.io/komodohealth/jobs/7230255002,
33,Abridge,healthtech,24,none open now,0,none in buyer JDs,"audit, compliance, hipaa, phi, regulated, soc 2, soc2",47,,https://jobs.ashbyhq.com/abridge/097490e8-48c6-46e3-a0ce-882151fb4fa2,
34,Parafin,fintech,24,none open now,0,none in buyer JDs,"audit, compliance, phi, soc2",20,,https://jobs.ashbyhq.com/parafin/2218e78d-9fa7-4fe3-8891-8515a653fcfd,
35,Capchase,fintech,24,none open now,0,none in buyer JDs,"audit, compliance, phi",5,,https://jobs.ashbyhq.com/capchase/ae44ac89-fa89-4ae7-9606-27f0455245df,
36,Rho,fintech,24,none open now,0,none in buyer JDs,"audit, compliance, phi, regulated",41,,https://jobs.ashbyhq.com/rho/d2333828-d453-4d3d-913a-545eb182ff32,
37,Kin,insurtech,24,none open now,0,none in buyer JDs,"compliance, phi, regulated",22,,https://jobs.ashbyhq.com/kin/2b57a949-a4bb-440f-a170-eda3ccf49b6c,
38,Trulioo,regtech,24,none open now,0,none in buyer JDs,"audit, compliance, gdpr, iso 27001, phi, regulated, soc 2",42,,https://jobs.ashbyhq.com/trulioo/ec79ee3e-273f-4f59-9cbd-1c76791b2a9e,
39,WorkOS,regtech,24,none open now,0,none in buyer JDs,"audit, compliance, iso 27001, phi, soc 2",28,,https://jobs.ashbyhq.com/workos/cff5a16f-fd1c-4b64-9b66-8a8321122375,
40,Secureframe,regtech,24,none open now,0,none in buyer JDs,"audit, compliance, fedramp, iso 27001, soc 2",15,,https://jobs.lever.co/secureframe/60eadeb8-eae8-49d5-86ef-a1511284bf75,
41,Thoropass,regtech,24,none open now,0,none in buyer JDs,"audit, compliance, gdpr, hipaa, iso 27001, pci, soc 2, soc2",8,,https://job-boards.greenhouse.io/thoropass/jobs/6001423004,
42,Hyperproof,regtech,24,none open now,0,none in buyer JDs,"audit, compliance, fedramp, iso 27001, phi, regulated, soc 2",6,,https://hyperproof.io/job-listings/?gh_jid=4708551005,
43,Highnote,fintech,16,none open now,0,none in buyer JDs,"compliance, phi",7,,https://job-boards.greenhouse.io/highnote/jobs/7516401003,
44,Huntress,regtech,16,none open now,0,none in buyer JDs,"audit, compliance",33,,https://job-boards.greenhouse.io/huntress/jobs/7854541003,
45,Lithic,fintech,8,none open now,0,none in buyer JDs,compliance,5,,https://job-boards.greenhouse.io/lithic/jobs/5817152004,
46,Openly,insurtech,8,none open now,0,none in buyer JDs,compliance,5,,https://jobs.ashbyhq.com/openly/5bfa71a0-a922-4636-9522-53a77ad260ec,
47,Relay,fintech,0,none open now,0,none in buyer JDs,none,3,,https://jobs.lever.co/relay/298f0f7a-d493-49fa-935d-89a76ef09665,"tiny board, no clear buyer role open right now"
48,Finix,fintech,0,none open now,0,none in buyer JDs,none,0,,,"tiny board, no clear buyer role open right now"
49,Stytch,regtech,0,none open now,0,none in buyer JDs,none,5,,https://jobs.ashbyhq.com/stytch/da3bf988-95dd-4061-9554-7ef939bac074,
