rank,company,segment,score,buyer_role_open,buyer_roles_count,signals,open_roles,evidence_url,note
24,Two Chairs,healthtech,0,none open now,0,none in role JD,30,,no buyer role open right now; low intent this scan
25,Lyra Health,healthtech,0,none open now,0,none in role JD,539,,"539 open roles: likely late-stage, longer procurement; kept as a stress case"
26,Ro,healthtech,0,none open now,0,none in role JD,52,,no buyer role open right now; low intent this scan
27,Sidecar Health,healthtech,0,none open now,0,none in role JD,13,,no buyer role open right now; low intent this scan
28,Tia,healthtech,0,none open now,0,none in role JD,0,,no buyer role open right now; low intent this scan
29,Komodo Health,healthtech,0,none open now,0,none in role JD,34,,no buyer role open right now; low intent this scan
30,Abridge,healthtech,0,none open now,0,none in role JD,46,,no buyer role open right now; low intent this scan
31,Included Health,healthtech,0,none open now,0,none in role JD,149,,no buyer role open right now; low intent this scan
32,Mercury,fintech,0,none open now,0,none in role JD,54,,no buyer role open right now; low intent this scan
33,Relay,fintech,0,none open now,0,none in role JD,3,,no buyer role open right now; low intent this scan
34,Lithic,fintech,0,none open now,0,none in role JD,5,,no buyer role open right now; low intent this scan
35,Gusto,fintech,0,none open now,0,none in role JD,86,,no buyer role open right now; low intent this scan
36,Highnote,fintech,0,none open now,0,none in role JD,7,,no buyer role open right now; low intent this scan
37,Parafin,fintech,0,none open now,0,none in role JD,21,,no buyer role open right now; low intent this scan
38,Capchase,fintech,0,none open now,0,none in role JD,6,,no buyer role open right now; low intent this scan
39,Rho,fintech,0,none open now,0,none in role JD,45,,no buyer role open right now; low intent this scan
40,Openly,insurtech,0,none open now,0,none in role JD,5,,no buyer role open right now; low intent this scan
41,Kin,insurtech,0,none open now,0,none in role JD,21,,no buyer role open right now; low intent this scan
42,Middesk,regtech,0,none open now,0,none in role JD,21,,no buyer role open right now; low intent this scan
43,Trulioo,regtech,0,none open now,0,none in role JD,43,,no buyer role open right now; low intent this scan
44,Stytch,regtech,0,none open now,0,none in role JD,5,,no buyer role open right now; low intent this scan
45,WorkOS,regtech,0,none open now,0,none in role JD,28,,no buyer role open right now; low intent this scan
46,Secureframe,regtech,0,none open now,0,none in role JD,15,,no buyer role open right now; low intent this scan
47,Thoropass,regtech,0,none open now,0,none in role JD,8,,no buyer role open right now; low intent this scan
48,Hyperproof,regtech,0,none open now,0,none in role JD,6,,no buyer role open right now; low intent this scan
49,Huntress,regtech,0,none open now,0,none in role JD,36,,no buyer role open right now; low intent this scan
